id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,"You need to use brackets: my_list = []",
1,1493088154,35,0,"Look it up in the Python docs",
2,WOP,WOP,0,"kaki
"
3,WOP,WOP,3,YAS
4,WOP,WOP,4,HAVE SOME SPAGETTTI
5,WOP,WOP,4,"8888    8888888       888        888       8     8888
8   8   8            88  88      8 88      8    88
8    8  8           88    88     8  88     8   8
88888   88888      88      88    8   88    8    888     
88888   88888      88      88    8    88   8       888 
8    8  8         888888888888   8     88  8          8
8   8   8         88        88   8      88 8        88
88888   8888888  88          88  8       888     8888"
6,WOP,WOP,5,"yes
"
7,WOP,WOP,5,sosigggggggggggggggggggggggggggggggggggggggggggggjkkonojén
8,WOP,WOP,5,1=2
9,WOP,WOP,5,"yes











































ssssssssssssssssssssssssssssssssss
ssssssssssssssss



















ssssssssssssssssssssssss






















ss





s






























ssssssssssssssssss"
10,WOP,WOP,5,"que?
"
11,WOP,WOP,6,"yes
"
12,WOP,WOP,7,?
13,WOP,WOP,8,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
14,WOP,WOP,8,What?
